"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FEZF2",62.4084248251333,6.75260596130955,0.90488339734472,7.46240452761574,8.49575724994874e-14,3.45323619947524e-12
"BRINP2",5.08562896058829,5.46210251881691,0.907120881546611,6.02136124295167,1.72956258343158e-09,2.61999202272606e-08
"HOXC12",2.93018951371702,4.85825340621649,0.837346171137683,5.80196527275654,6.55421382539496e-09,8.7054985514891e-08
"ZFHX3",3712.44237732658,4.54633294169971,0.483251499278892,9.40779893799346,5.06634793768618e-21,7.94597822509629e-19
"TBC1D3K",2.01311456696665,4.50851723315083,2.08965970431527,2.15753657106967,0.0309638808201946,0.065959140827982
"ZNF469",9.46309207328988,4.13776717742893,1.56427687479306,2.64516291463832,0.0081651594721117,0.0214809269948286
"SKOR2",3.96033003140611,3.9432510747668,0.761545613555955,5.1779578328266,2.24327916350889e-07,2.08072852878151e-06
"RELN",7.74777084229374,3.70324799575632,0.559064553947981,6.62400785312692,3.49588179410086e-11,7.86826676462703e-10
"MEIS2",49.014168643011,3.22960591875774,0.386036145538654,8.3660713020832,5.95711566780927e-17,4.53412426343502e-15
"RPL17-C18orf32",5.50590208902485,2.94029063635224,0.657640102275384,4.47097223265288,7.78648087048062e-06,4.83066420544519e-05
"NAIPP2",3.00984998062207,2.89650785160457,2.92413715026806,0.990551298641735,0.321904728419744,0.441826723534086
"EGR3",80.6198118632153,2.8863143238212,0.431308194372927,6.69199973818621,2.20141260841224e-11,5.23450743810366e-10
"UNC45B",0.596504086145121,2.84665809133792,2.15003008758416,1.32400849075397,0.185500224837739,0.287767208617802
"HSPE1-MOB4",4.75051711163954,2.66812544580263,0.618234734304858,4.31571585637721,1.59086508320466e-05,9.15882912381117e-05
"FAM83A",249.465518037526,2.43440034913671,0.217863452883497,11.1739730409878,5.46791620036868e-29,4.46843867595392e-26
