"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TET3",238.504059674933,-1.45023892294847,0.203079375847358,-7.14124177749354,9.24914970842686e-13,2.96718073394099e-11
"ZNF703",59.412205209796,-1.13713601376627,0.164966879315234,-6.89311708196484,5.45829132554414e-12,1.52429657215331e-10
"BICRA",72.0234829025387,-1.45874066197765,0.211969878642864,-6.88182996243252,5.9088519790916e-12,1.62960470123189e-10
"CHD1",38.9648059588687,1.03827619228516,0.151713961728585,6.84364300065298,7.72041807363434e-12,2.06325183182996e-10
"EGR3",80.6198118632153,2.8863143238212,0.431308194372927,6.69199973818621,2.20141260841224e-11,5.23450743810366e-10
"RELN",7.74777084229374,3.70324799575632,0.559064553947981,6.62400785312692,3.49588179410086e-11,7.86826676462703e-10
"NSA2",50.4835914914183,1.03075628835034,0.156894776972459,6.56972977839333,5.0406653678651e-11,1.09770562646341e-09
"OTUD4",77.2662172482788,1.37157933415344,0.209884526138142,6.53492355720732,6.36420385371996e-11,1.34811723378867e-09
"ENG",32.7222325621916,-1.4088103097477,0.218271281404467,-6.45440069203195,1.08647995221075e-10,2.15450500868153e-09
"CHTF18",35.9348253378956,-1.0147251636733,0.157881164780402,-6.42714515746504,1.30022650072482e-10,2.52673552900554e-09
"POT1",29.3466805237835,1.04783234038129,0.164275109354509,6.37852164274042,1.78805579181389e-10,3.37340732436139e-09
"VKORC1L1",103.606128730703,1.1751632667978,0.184930706649052,6.35461405026662,2.08950570899407e-10,3.9041823277438e-09
"SNX25",20.1478688156292,1.36842779593433,0.216620976063983,6.31715275592768,2.66426204970979e-10,4.87830151484008e-09
"OR10K1",59.620710541321,1.12142268855063,0.178140179732464,6.29516985014167,3.07063445282113e-10,5.55684628775684e-09
"MUC5B",30.53338543812,-1.14087684778124,0.1815762851719,-6.28318200640112,3.3171232648803e-10,5.93375264214245e-09
"S1PR5",110.693399813688,-1.06807264221683,0.170909330806753,-6.2493524325158,4.12157943142992e-10,7.25575553648667e-09
"RPL21",216.558919036453,1.05571434918769,0.169565877818526,6.22598345120791,4.78544580002565e-10,8.3487210041571e-09
"MMP17",35.0028601429795,-1.16269738628485,0.187490910234636,-6.20135336070313,5.59796648627287e-10,9.59377766361577e-09
"PIK3CD",241.170357992814,-1.01134966921677,0.163579619607877,-6.1826141400812,6.30486928045044e-10,1.06408375345167e-08
"SMCHD1",770.084555771915,1.0536002007207,0.171263812546843,6.15191373503098,7.6553516515957e-10,1.26451750100347e-08
"LKAAEAR1",13.5465970415199,-1.16840680594399,0.190419145600137,-6.13597336686691,8.46393373233617e-10,1.38045692292e-08
"GPAA1",67.9862449906964,-1.07352883302695,0.175609969260096,-6.11314287879038,9.76878337568459e-10,1.57085287986752e-08
"JSRP1",12.2077577673966,-1.07001928573152,0.177080642730194,-6.04255365936205,1.5169387431485e-09,2.32972382441808e-08
"RGS18",216.026541409278,1.09224338837045,0.180771131673726,6.04213393066452,1.52089132398434e-09,2.33118258514362e-08
"ZNF354B",374.011048460449,1.17640360007722,0.194697567470903,6.04221005613249,1.52017370686466e-09,2.33118258514362e-08
"BRINP2",5.08562896058829,5.46210251881691,0.907120881546611,6.02136124295167,1.72956258343158e-09,2.61999202272606e-08
"SF3B6",19.0686762872139,1.05962992002088,0.176255092819875,6.01191093583763,1.83349052496961e-09,2.76394246419448e-08
"ADAT3",18.3216322103519,-1.07287770405123,0.178853703337315,-5.99863287162584,1.98985663164587e-09,2.97941214267747e-08
"ZNF358",28.8221219954032,-1.02807107639769,0.172466242020707,-5.96099888507025,2.50700678244415e-09,3.67837491874745e-08
"RPL29",98.2543585520187,-1.55500835562607,0.265006257955837,-5.8678174908806,4.4156891522713e-09,6.11618246809245e-08
"CARMIL3",13.9115592837117,-1.21281372283811,0.208077068550898,-5.82867555413219,5.58690033468852e-09,7.57622720495272e-08
"HOXC12",2.93018951371702,4.85825340621649,0.837346171137683,5.80196527275654,6.55421382539496e-09,8.7054985514891e-08
"FCGBP",38.7215025879035,-1.47185262839782,0.256291429525636,-5.74288664713464,9.30760362490906e-09,1.20032526149471e-07
"LY96",10.0128028719073,1.38465683311118,0.241114241636411,5.74274179622776,9.31557188869941e-09,1.20035588975797e-07
"RAB27B",82.9057346968735,1.04514004821032,0.187242649435513,5.58174140005569,2.38122254025045e-08,2.81808249866378e-07
"RASGEF1A",26.3823045641827,-1.06208368038508,0.191718297203277,-5.53981386168354,3.02793311503853e-08,3.51643361833981e-07
"ADCY7",740.419481907807,-1.04068994561377,0.190018412947981,-5.47678474663748,4.33123556544257e-08,4.84517972799904e-07
"RPL21P16",245.220861395356,1.06838445340625,0.197210798316666,5.41747441076084,6.04467974494113e-08,6.52228925640729e-07
"ORC4",202.89481601445,1.58629117226909,0.294746617330639,5.38188083932999,7.37115561867664e-08,7.82844960952066e-07
"CNEP1R1",46.2309276658666,1.20411308696939,0.225107966201606,5.34904698082069,8.84185892696837e-08,9.13423443506573e-07
"SPP2",18.9647587650224,1.08865766400522,0.203862429825015,5.34015838494455,9.28654132073582e-08,9.54914748920961e-07
"PKNOX2",11.5448142035052,2.0558902527597,0.387714668497837,5.30258568943251,1.14173844194781e-07,1.14670633907787e-06
"CEP295NL",19.1276002406653,-1.17285528805622,0.223469121219382,-5.24839978631683,1.53426062637991e-07,1.49170098596123e-06
"REPS2",482.127579098482,1.09079373949985,0.209661957169141,5.20263072150889,1.96487056774785e-07,1.86027715276956e-06
"SKOR2",3.96033003140611,3.9432510747668,0.761545613555955,5.1779578328266,2.24327916350889e-07,2.08072852878151e-06
"NTSR1",17.0083704394029,-1.1130479496828,0.215241653568247,-5.17115498432039,2.3265150356817e-07,2.14384563555073e-06
"ARVCF",24.1694089000756,-1.04474257903146,0.202762182297008,-5.15255146297998,2.56966067537631e-07,2.33875271433575e-06
"AGRN",39.1839367749521,-1.20939668125914,0.236078119976668,-5.12286645360726,3.0092548866171e-07,2.69461941317784e-06
"COX7C",42.1025400453117,1.12934999714511,0.221622710256887,5.095822516727,3.4723032542761e-07,3.04945999033625e-06
"PPBP",459.745728068983,1.42630456293102,0.282090298264226,5.05619857083863,4.27696010473049e-07,3.65483541806001e-06
"SPC25",10.5451436021116,1.33553545210761,0.26480721880535,5.04342539502033,4.57271103545909e-07,3.87980788238105e-06
"RPL22P1",19.8390143073443,1.46744022081109,0.291698481667879,5.03067486817392,4.88756375246671e-07,4.11288021889979e-06
"ERO1B",9.99611754929076,1.11821230801915,0.222630194750452,5.02273426689745,5.09410035510307e-07,4.26854269906559e-06
"IGF2",9.02777190369928,-1.64419230408323,0.328078744375099,-5.01157826367253,5.39854184146652e-07,4.4897246476942e-06
"CACNA2D2",46.8691143422413,-1.03790612048173,0.209203724842223,-4.96122199193393,7.00510768532777e-07,5.65617821269289e-06
"LYZ",284.114601012516,1.62645906416162,0.328102841141598,4.95716239000715,7.15301884591998e-07,5.7636182470472e-06
"MTSS2",9.63277932240291,-1.14148889353828,0.230268846985264,-4.95720071769557,7.15160841240828e-07,5.7636182470472e-06
"SAPCD2P3",3.21596893418704,-1.80576220298635,0.365045119162399,-4.94668222692498,7.54890588078371e-07,6.06686654300873e-06
"HMGB3",12.409678916187,1.55436974288623,0.314376148559161,4.94429920975294,7.64182579924287e-07,6.13519282238077e-06
"SMIM30",9.0360989023429,1.17178102131793,0.23770300305796,4.92960125132374,8.23976225677903e-07,6.57444956634163e-06
"WDR81",139.188033775036,-1.29542187178555,0.26493499210154,-4.88958389946866,1.01049347835117e-06,7.89629201729171e-06
"NT5C3A",63.1866979936787,1.03208468194435,0.213937747927871,4.82422897287075,1.40545885629582e-06,1.06037704867372e-05
"ZNF442",157.656323721584,1.1658157777059,0.242024263698257,4.81693760737715,1.45778246487652e-06,1.09559478858363e-05
"FAM240C",5.45840345492203,-1.23526682128479,0.259358112419585,-4.76278459062194,1.90939633896077e-06,1.39281212008716e-05
"IGLV3-9",7.45257319870329,-1.10028904432409,0.232667870992973,-4.72901152887295,2.25615573596847e-06,1.61509129148836e-05
"MSH6",77.9754913777974,1.05919522735476,0.224233939653699,4.72361690202008,2.31686677105571e-06,1.65321646848263e-05
"COMTD1",9.89912649546064,-1.03737988611632,0.219628984561063,-4.72332869994172,2.32015394510587e-06,1.65421375454707e-05
"GJC2",5.3119368131077,-1.32021984817609,0.279786026894673,-4.71867685041003,2.37383551229044e-06,1.68534723362294e-05
"COMMD8",10.9019677080747,1.00851259953083,0.215058616241525,4.68947776729953,2.73903190716612e-06,1.91227286072699e-05
"PRX",6.04843969281059,-1.58414672552309,0.339302301007625,-4.66883578690345,3.02911370359163e-06,2.09688134086791e-05
"KLF15",27.2319403150189,1.2964561705276,0.278128906032928,4.66134997983313,3.14142008851264e-06,2.15922220957661e-05
"ZNF837",8.23861504146156,-1.07179573444971,0.230535228337069,-4.64916248237177,3.33285588290339e-06,2.27369302697016e-05
"SCN2A",128.19649604368,1.10013840932858,0.236756837654171,4.64670173934131,3.37284275886195e-06,2.29391719302889e-05
"JUP",74.958475156345,-1.06183782702608,0.230027351506505,-4.61613725529527,3.90948435387363e-06,2.61987758146723e-05
"LARP7",27.7739944819114,1.0386388208856,0.22508301355363,4.61447003257811,3.94099630554772e-06,2.63985546316822e-05
"DRD4",7.93843075331046,-1.2178429163348,0.264796377420549,-4.59916758755586,4.2418245100848e-06,2.81826312229725e-05
"ANGPT1",18.4911710894493,1.00642948038689,0.21949726897045,4.58515718718297,4.5364502095512e-06,2.99351731422446e-05
"JPH3",32.9159728046239,2.15926670817196,0.471018088440583,4.58425432305737,4.55609423508294e-06,3.00265174822295e-05
"GORAB",8.50600663946626,1.5447539679231,0.337557830463033,4.57626465309408,4.73351663104573e-06,3.10377165245975e-05
"RAF1",15.6876346992248,1.05350442741226,0.231015762835904,4.56031404298843,5.1077176444567e-06,3.32386973451296e-05
"MMRN1",32.1874924975556,1.38198840157112,0.303081399047448,4.55979286724475,5.12041009915159e-06,3.32933867711586e-05
"RPL39",210.707351620395,1.33362710935073,0.294310596271746,4.53135947616155,5.86053152262799e-06,3.75397990725432e-05
"FCER1A",28.9306189189747,1.11696293910489,0.246775190317102,4.52623676500709,6.0043307612634e-06,3.83343929811418e-05
"CD69",18.450291028657,1.01772210979283,0.225403760123439,4.51510706491983,6.3284785197581e-06,4.01282533318287e-05
"IGHG2",103.026939889175,-1.36946874655411,0.303309854974467,-4.5150816041549,6.32923890060208e-06,4.01282533318287e-05
"IGHA2",145.966958506409,-1.8077802006503,0.400904759437649,-4.50925103305353,6.50568918095336e-06,4.11294120165565e-05
"ARHGAP27P2",9.3588300226701,-1.11242245031825,0.247073098100613,-4.5024021589969,6.71896890053289e-06,4.23277448144046e-05
"ADGRB2",5.11299021753072,-1.2073631436093,0.268506045381183,-4.49659575409288,6.90500903229295e-06,4.33713896619792e-05
"PKD1P4",97.9085375425553,-1.20692431903021,0.268915118121354,-4.48812371525187,7.18532005131707e-06,4.49502274120871e-05
"RPL17-C18orf32",5.50590208902485,2.94029063635224,0.657640102275384,4.47097223265288,7.78648087048062e-06,4.83066420544519e-05
"KRTAP5-1",3.09994002730108,-1.70236515461819,0.383863683619107,-4.43481690835692,9.21505717838026e-06,5.63537584910241e-05
"MMP23B",10.2961873690254,-1.33622228645595,0.301781850181772,-4.42777551284514,9.52099167911429e-06,5.79735050202383e-05
"GMPR",16.6680074058755,-2.37823053664614,0.537129910269929,-4.42766357109211,9.52593280115246e-06,5.79808540194019e-05
"RPS27",461.824013604268,1.18515328719326,0.268384792011132,4.41587348639376,1.00602913704569e-05,6.0957362126515e-05
"BOK",16.8846803285429,-1.20364419433001,0.27435132557788,-4.38723666377306,1.14799855684865e-05,6.86311764473423e-05
"ITPRIPL2",7.64903909032537,-1.94549200914664,0.443540910004137,-4.38627410745155,1.15308796074669e-05,6.88615260250535e-05
"MTND4P14",20.5941881815978,1.11140611987648,0.253586762719138,4.38274501381379,1.17193248919709e-05,6.98525748935251e-05
"SCX",4.47252052990245,-1.27801841862128,0.292438588874415,-4.37021127594796,1.24126379144186e-05,7.36176580967067e-05
"FAS",74.8656258553239,1.02185179555435,0.234755095609582,4.35284181116892,1.34384118082493e-05,7.9007277601926e-05
"BRICD5",7.58696261088164,-1.1826960610125,0.272422886697997,-4.34139757987228,1.41579271389319e-05,8.27362193022942e-05
"HSPE1-MOB4",4.75051711163954,2.66812544580263,0.618234734304858,4.31571585637721,1.59086508320466e-05,9.15882912381117e-05
"CSPG4P11",7.65900984217636,-1.17049337843745,0.27286119301189,-4.28970263421244,1.78912509666506e-05,0.000101484017163731
"LYNX1",14.7837657343535,-1.10109408575317,0.256792437651071,-4.28787582619286,1.80389882059416e-05,0.000102185833591264
"MTND2P28",64.7378562286126,1.67213383171753,0.390693482455811,4.2799122760044,1.86966993465328e-05,0.000105526590604731
"LENG9",16.8366948102944,-1.09524594351963,0.25606753923917,-4.27717604025029,1.89279119644314e-05,0.00010663776816826
"TMEM121B",34.6342266042827,1.12655937103628,0.263474025870097,4.27578911171956,1.90461453590743e-05,0.000107264961548911
"CLEC4E",50.1843475262619,1.04309493416686,0.244421505778942,4.26760702108698,1.9758099020184e-05,0.000111032936477162
"XKR3",3.49361107702413,2.03056171936254,0.482671353094888,4.20692404126034,2.58870103778845e-05,0.000141331789781087
"ARSK",7.66888932942729,1.01217983453021,0.243255883034201,4.16096754538883,3.16902123429011e-05,0.000168654815354808
"CNTNAP3B",80.6148165108424,1.12450970324849,0.27025441244645,4.16093004021277,3.16954177371887e-05,0.000168654815354808
"PHC1P1",20.2675028631089,-1.29995998426628,0.313900353806973,-4.14131417343247,3.45321578383621e-05,0.000181349738178264
"RAD17P2",10.2419978088703,1.00739830100655,0.243323789342159,4.14015540251988,3.47070619170269e-05,0.000182182741847761
"PPIAP89",3.98460853195918,1.8395316734136,0.445602055419883,4.12819386948347,3.65623793685674e-05,0.000191081812337848
"CRACR2B",11.1533111435814,-1.04441718852154,0.253212813271496,-4.12466168290509,3.71280101566736e-05,0.000193386988830148
"SNTB2",8.5391051481448,-1.27949807225374,0.310802012307798,-4.11676250984698,3.84231639659108e-05,0.000199064553519752
"CLCN3",35.4243725407538,1.14914625622176,0.279158465678841,4.11646572647307,3.84726509940702e-05,0.00019925445363073
"SLC34A3",6.99131705307503,-1.28428647007216,0.312359208987657,-4.11156909455135,3.92979230477331e-05,0.000203078398055359
"MTCO2P11",16.0274045792364,1.04464884321479,0.254454022479288,4.10545226613511,4.03524606792583e-05,0.000207841982277667
"IFI27",30.0004633996044,-1.45943360758885,0.35581498554846,-4.1016642549196,4.10189170068772e-05,0.000210754706937717
"PKD1P3",52.6819735098831,-1.03487711437643,0.254381094997072,-4.06821550315421,4.73745570512244e-05,0.000239682224612043
"PCDH1",17.1595537139981,-1.16557843221792,0.286721113409607,-4.06519916987345,4.79914606461266e-05,0.000242172053770688
"JAG2",4.15346845420739,-1.22661900751238,0.302202851481723,-4.05892598795206,4.92989344140514e-05,0.000247883599302777
"NDUFV2P1",3.14565730987716,1.6329840808437,0.403114825345448,4.05091546668946,5.10176375177625e-05,0.000255121049191079
"MTND5P32",123.051622669445,1.03776573396312,0.257155878974906,4.03555126991434,5.44742420544498e-05,0.000270662898041422
"YBX2",5.05287083873661,-1.19218975025501,0.296259321324272,-4.02414258199861,5.71832665700233e-05,0.000282855871307025
"FOXP3",9.80859203070404,-1.03125053316784,0.257051010715086,-4.01185169550206,6.02443435162433e-05,0.000296298359764558
"MTATP6P11",13.0811266569617,1.09277037507845,0.272405716526719,4.0115544894274,6.03202505144484e-05,0.000296577748492033
"MTND6P18",5.17009249671052,1.20163264150945,0.305148251391092,3.93786507388301,8.22097971028955e-05,0.000389762296066155
